documento,numero,fecha,grupo1,tipo,pedido,numpedido
18002716,269.84,25/04/18,PACO REINA,Factura,Pedido,16621
18008365,22.56,14/11/18,PACO REINA,Factura,Pedido,20146
18008003,97.48,31/10/18,PACO REINA,Factura,Pedido,19966
18007997,3336.20,31/10/18,PACO REINA,Factura,Pedido,19966
18007982,28.35,30/10/18,PACO REINA,Factura,Pedido,20179
18007981,106.24,30/10/18,PACO REINA,Factura,Pedido,19826
18007980,236.21,30/10/18,PACO REINA,Factura,Pedido,16621
18007979,181.42,30/10/18,PACO REINA,Factura,Pedido,20060
18008366,2228.99,14/11/18,PACO REINA,Factura,Pedido,19826
18008367,1751.53,14/11/18,PACO REINA,Factura,Pedido,16621
18008368,78.24,14/11/18,PACO REINA,Factura,Pedido,20060
18008369,468.03,14/11/18,PACO REINA,Factura,Pedido,20179
18001898,288.93,19/03/18,PACO REINA,Factura,Pedido,20060
18001899,181.96,19/03/18,PACO REINA,Factura,Pedido,19826
18001900,504.06,19/03/18,PACO REINA,Factura,Pedido,16621
18001901,100.92,19/03/18,PACO REINA,Factura,Pedido,20179
18001902,342.45,19/03/18,PACO REINA,Factura,Pedido,20112
18007968,44.26,25/10/18,PACO REINA,Factura,Pedido,16621
18003839,2494.89,06/06/18,PACO REINA,Factura,Pedido,20060
18003840,1174.24,06/06/18,PACO REINA,Factura,Pedido,20179
18005622,99.72,08/08/18,PACO REINA,Factura,Pedido,20146
18005621,73.95,08/08/18,PACO REINA,Factura,Pedido,20070
18005620,388.95,08/08/18,PACO REINA,Factura,Pedido,20161
18005618,783.37,08/08/18,PACO REINA,Factura,Pedido,20060
18005617,1141.39,08/08/18,PACO REINA,Factura,Pedido,19826
18005616,0.00,03/08/18,PACO REINA,Factura,Pedido,19966
18005968,2271.91,22/08/18,PACO REINA,Factura,Pedido,16621
18005969,50.78,22/08/18,PACO REINA,Factura,Pedido,20146
18005970,1006.91,22/08/18,PACO REINA,Factura,Pedido,19826
18000087,1479.05,09/01/18,PACO REINA,Factura,Pedido,16621
18000086,338.55,09/01/18,PACO REINA,Factura,Pedido,20060
18005971,2626.11,22/08/18,PACO REINA,Factura,Pedido,20070
18005972,0.01,22/08/18,PACO REINA,Factura,Pedido,20179
18005227,2306.46,23/07/18,PACO REINA,Factura,Pedido,19966
18005228,25.02,23/07/18,PACO REINA,Factura,Pedido,19966
18000084,79.60,09/01/18,PACO REINA,Factura,Pedido,19826
18000083,31.88,09/01/18,PACO REINA,Factura,Pedido,20146
18008788,196.33,28/11/18,PACO REINA,Factura,Pedido,20070
18008789,770.01,28/11/18,PACO REINA,Factura,Pedido,16621
